Title,What you want to query,Example
,"Files with the name ""hello""",name = 'hello'
,"Files with a name containing the words ""hello"" and ""goodbye""",name contains 'hello' and name contains 'goodbye'
,"Files with a name that does not contain the word ""hello""",not name contains 'hello'
,Folders that are Google apps or have the folder MIME type,mimeType = 'application/vnd.google-apps.folder'
,Files that are not folders,mimeType != 'application/vnd.google-apps.folder'
,"Files that contain the text ""important"" and in the trash",fullText contains 'important' and trashed = true
,"Files that contain the word ""hello""",fullText contains 'hello'
,"Files that do not have the word ""hello""",not fullText contains 'hello'
,"Files that contain the exact phrase ""hello world""","fullText contains '""hello world""'"
,"Files with a query that contains the ""\"" character (e.g., ""\authors"")",fullText contains '\\authors'
,"Files with ID within a collection, e.g. parents collection",'1234567' in parents
,Files in an https://developers.google.com/drive/api/v3/appdata in a collection,'appDataFolder' in parents
,"Files for which user ""test@example.org"" has write permission",'test@example.org' in writers
,"Files for which members of the group ""group@example.org"" have write permission",'group@example.org' in writers
,Files modified after a given date,modifiedTime > '2012-06-04T12:00:00' // default time zone is UTC
,"Files shared with the authorized user with ""hello"" in the name",sharedWithMe and name contains 'hello'
,"Files that have not been shared with anyone or domains (only private, or shared with specific users or groups)",visibility = 'limited'
,Image or video files modified after a specific date,modifiedTime > '2012-06-04T12:00:00' and (mimeType contains 'image/' or mimeType contains 'video/')
