Title,Example,What you want to query
,name contains 'hello' and name contains 'goodbye',"Files with a name containing the words ""hello"" and ""goodbye"""
,'group@example.org' in writers,"Files for which members of the group ""group@example.org"" have write permission"
,not fullText contains 'hello',"Files that do not have the word ""hello"""
,not name contains 'hello',"Files with a name that does not contain the word ""hello"""
,'1234567' in parents,"Files with ID within a collection, e.g. parents collection"
,mimeType = 'application/vnd.google-apps.folder',Folders that are Google apps or have the folder MIME type
,'test@example.org' in writers,"Files for which user ""test@example.org"" has write permission"
,fullText contains '\\authors',"Files with a query that contains the ""\"" character (e.g., ""\authors"")"
,"fullText contains '""hello world""'","Files that contain the exact phrase ""hello world"""
,mimeType != 'application/vnd.google-apps.folder',Files that are not folders
,modifiedTime > '2012-06-04T12:00:00' // default time zone is UTC,Files modified after a given date
,modifiedTime > '2012-06-04T12:00:00' and (mimeType contains 'image/' or mimeType contains 'video/'),Image or video files modified after a specific date
,sharedWithMe and name contains 'hello',"Files shared with the authorized user with ""hello"" in the name"
,name = 'hello',"Files with the name ""hello"""
,fullText contains 'important' and trashed = true,"Files that contain the text ""important"" and in the trash"
,fullText contains 'hello',"Files that contain the word ""hello"""
,'appDataFolder' in parents,Files in an https://developers.google.com/drive/api/v3/appdata in a collection
,visibility = 'limited',"Files that have not been shared with anyone or domains (only private, or shared with specific users or groups)"
